target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,reward
40,3,10,ZX_split,5.701417447607752,5.742765806909002,0.04134835930125025,0.9995726391887408,0.0004273608112591587,5,0,1,4,
40,3,10,RL_adaptive,5.701417447607752,5.373432149235376,0.32798529837237567,0.9733466365502296,0.02665336344977043,8,1,0,1,0.9733466365502296
40,3,25,Z_only,5.701417447607752,0.5735131044230967,1.1552809639949313,0.7018307468652955,0.29816925313470455,23,2,0,0,
40,3,25,ZX_split,5.701417447607752,5.850777531609048,0.1493600840012963,0.9944332516670727,0.005566748332927252,11,1,4,9,
40,3,25,RL_adaptive,5.701417447607752,5.81953769817878,0.11812025057102815,0.9965159553256931,0.003484044674306852,1,0,6,18,0.9965159553256931
40,3,50,Z_only,5.701417447607752,0.6435011087932843,1.2252689683651186,0.6693464571351804,0.3306535428648196,45,5,0,0,
40,3,50,ZX_split,5.701417447607752,5.592738850124894,0.10867859748285813,0.9970501457309988,0.002949854269001184,24,1,3,22,
40,3,50,RL_adaptive,5.701417447607752,5.432661980447752,0.2687554671600001,0.9820510529693298,0.01794894703067018,46,3,0,1,0.9820510529693298
40,3,100,Z_only,5.701417447607752,0.6435011087932843,1.2252689683651186,0.6693464571351804,0.3306535428648196,90,10,0,0,
40,3,100,ZX_split,5.701417447607752,5.619139144352902,0.0822783032548502,0.9983085247608223,0.0016914752391776755,48,2,7,43,
40,3,100,RL_adaptive,5.701417447607752,5.385896877610461,0.3155205699972905,0.9753174844660566,0.024682515533943405,89,10,0,1,0.9753174844660566
40,3,250,Z_only,5.701417447607752,0.6163392897064195,1.198107149278254,0.6820606575685342,0.3179393424314658,227,23,0,0,
40,3,250,ZX_split,5.701417447607752,5.681267100931879,0.02015034667587301,0.9998984943168643,0.0001015056831357164,120,5,23,102,
40,3,250,RL_adaptive,5.701417447607752,5.767940343493543,0.0665228958857913,0.99889408400477,0.0011059159952300224,1,0,54,195,0.99889408400477
40,3,500,Z_only,5.701417447607752,0.5433142473551479,1.1250821069269819,0.7155512164629418,0.28444878353705816,464,36,0,0,
40,3,500,ZX_split,5.701417447607752,5.683500992041782,0.017916455565970324,0.9999197523016443,8.024769835568435e-05,223,27,58,192,
40,3,500,RL_adaptive,5.701417447607752,0.858386555694928,1.440154415266762,0.5651353054392587,0.4348646945607413,465,34,1,0,0.5651353054392587
40,4,10,Z_only,5.701417447607752,0.0,0.5817678595718343,0.9177462569740399,0.08225374302596011,10,0,0,0,
40,4,10,ZX_split,5.701417447607752,5.034139534781332,0.6672779128264201,0.8927545689103611,0.10724543108963891,3,2,1,4,
40,4,10,RL_adaptive,5.701417447607752,5.373432149235376,0.32798529837237567,0.9733466365502296,0.02665336344977043,8,1,0,1,0.9733466365502296
