target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
42,0,25,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9250660202021777,0.07493397979782235,11,1,2,11,0,0,10,2,4,9,0,0
42,0,25,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.98290872468769,0.017091275312310028,7,1,1,7,5,4,7,1,3,5,3,6
42,0,50,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,46,4,0,0,0,0,46,4,0,0,0,0
42,0,50,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9322070119828654,0.06779298801713463,20,5,7,18,0,0,22,3,8,17,0,0
42,0,50,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8700500274160485,0.12994997258395147,15,1,2,14,11,7,12,4,10,6,8,10
42,0,100,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,80,20,0,0,0,0,96,4,0,0,0,0
42,0,100,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9371307090869887,0.0628692909130113,43,7,10,40,0,0,48,2,16,34,0,0
42,0,100,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9759003890766424,0.02409961092335755,30,3,5,28,23,11,32,1,13,20,4,30
42,0,250,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,222,28,0,0,0,0,236,14,0,0,0,0
42,0,250,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9376556779694135,0.062344322030586485,109,16,30,95,0,0,118,7,44,81,0,0
42,0,250,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9839622061683168,0.016037793831683245,66,17,12,71,59,25,79,4,37,46,31,53
42,0,500,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,414,86,0,0,0,0,478,22,0,0,0,0
42,0,500,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9368668144260317,0.0631331855739683,205,45,64,186,0,0,232,18,107,143,0,0
42,0,500,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.996845752850036,0.00315424714996404,149,17,34,132,108,60,158,8,58,108,47,121
42,1,10,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,8,2,0,0,0,0,10,0,0,0,0,0
42,1,10,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9366657722168296,0.06333422778317044,4,1,1,4,0,0,4,1,2,3,0,0
42,1,10,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8983984301883513,0.1016015698116487,3,0,1,2,3,1,3,0,2,1,1,3
42,1,25,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,23,2,0,0,0,0,22,3,0,0,0,0
