target_id,seed,theta1,theta2,N,method,l1,kl
1,2,1.3845619148968347,1.1584422520399775,25,Dirichlet(alpha=0.5),0.4662298545782425,0.2985788089058677
1,2,1.3845619148968347,1.1584422520399775,50,MLE,0.11586049204513635,0.012928057967457926
1,2,1.3845619148968347,1.1584422520399775,50,Dirichlet(alpha=0.5),0.12124510742975175,0.013767628932555669
1,2,1.3845619148968347,1.1584422520399775,100,MLE,0.20579405032708262,0.02953876718684724
1,2,1.3845619148968347,1.1584422520399775,100,Dirichlet(alpha=0.5),0.20030385424865121,0.027142356566502306
1,2,1.3845619148968347,1.1584422520399775,250,MLE,0.058205949672917354,0.0017002035235803396
1,2,1.3845619148968347,1.1584422520399775,250,Dirichlet(alpha=0.5),0.05833293379990148,0.0017195522227166533
1,2,1.3845619148968347,1.1584422520399775,500,MLE,0.056906700441681085,0.002963572781023195
1,2,1.3845619148968347,1.1584422520399775,500,Dirichlet(alpha=0.5),0.05813771041510438,0.0030044845917021265
1,2,1.3845619148968347,1.1584422520399775,1000,MLE,0.03793355828194614,0.0008070521360041402
1,2,1.3845619148968347,1.1584422520399775,1000,Dirichlet(alpha=0.5),0.037199027343822424,0.0007743014980973687
1,3,1.3845619148968347,1.1584422520399775,10,MLE,0.38515974127637265,0.11258300716797659
1,3,1.3845619148968347,1.1584422520399775,10,Dirichlet(alpha=0.5),0.3518264079430394,0.09613384935223315
1,3,1.3845619148968347,1.1584422520399775,25,MLE,0.12490670044168102,0.018782400733861587
1,3,1.3845619148968347,1.1584422520399775,25,Dirichlet(alpha=0.5),0.12638818192316253,0.014356368113596887
1,3,1.3845619148968347,1.1584422520399775,50,MLE,0.24993355828194622,0.03661564229487287
1,3,1.3845619148968347,1.1584422520399775,50,Dirichlet(alpha=0.5),0.23348635801939033,0.031554417970533745
1,3,1.3845619148968347,1.1584422520399775,100,MLE,0.07923280751318246,0.006385894915394647
1,3,1.3845619148968347,1.1584422520399775,100,Dirichlet(alpha=0.5),0.06982104280730012,0.005035576427738437
1,3,1.3845619148968347,1.1584422520399775,250,MLE,0.09379405032708263,0.00478816709713191
1,3,1.3845619148968347,1.1584422520399775,250,Dirichlet(alpha=0.5),0.09246071699374925,0.0047111258934409185
1,3,1.3845619148968347,1.1584422520399775,500,MLE,0.0790932995583189,0.006444103827577555
1,3,1.3845619148968347,1.1584422520399775,500,Dirichlet(alpha=0.5),0.07820086927943448,0.006285620463262136
1,3,1.3845619148968347,1.1584422520399775,1000,MLE,0.016767192486817573,0.00019309693946157952
1,3,1.3845619148968347,1.1584422520399775,1000,Dirichlet(alpha=0.5),0.01753365955268578,0.00020781972920780735
1,4,1.3845619148968347,1.1584422520399775,10,MLE,0.36993355828194613,0.07471085288906204
1,4,1.3845619148968347,1.1584422520399775,10,Dirichlet(alpha=0.5),0.2591273836604159,0.03865393323873185
1,4,1.3845619148968347,1.1584422520399775,25,MLE,0.2292992492312363,0.034304119474668646
1,4,1.3845619148968347,1.1584422520399775,25,Dirichlet(alpha=0.5),0.22219677831340973,0.028717103636806837
1,4,1.3845619148968347,1.1584422520399775,50,MLE,0.27420594967291734,0.06204490356848104
1,4,1.3845619148968347,1.1584422520399775,50,Dirichlet(alpha=0.5),0.2665136419806097,0.05523937892611726
1,4,1.3845619148968347,1.1584422520399775,100,MLE,0.12490670044168106,0.024834290444994897
1,4,1.3845619148968347,1.1584422520399775,100,Dirichlet(alpha=0.5),0.1252988573044262,0.022472741256494552
1,4,1.3845619148968347,1.1584422520399775,250,MLE,0.08220594967291742,0.007668765302280486
1,4,1.3845619148968347,1.1584422520399775,250,Dirichlet(alpha=0.5),0.08214245760942533,0.0072009632131736605
1,4,1.3845619148968347,1.1584422520399775,500,MLE,0.09006644171805384,0.004778620276303866
1,4,1.3845619148968347,1.1584422520399775,500,Dirichlet(alpha=0.5),0.0910226170168586,0.004856070563255696
1,4,1.3845619148968347,1.1584422520399775,1000,MLE,0.023093299558318875,0.0005707271120120073
1,4,1.3845619148968347,1.1584422520399775,1000,Dirichlet(alpha=0.5),0.022757970217001544,0.0005687501767967038
2,0,1.1052493731436484,5.1025402722608115,10,MLE,0.5510752691395443,2.202900252755616
2,0,1.1052493731436484,5.1025402722608115,10,Dirichlet(alpha=0.5),0.46774193580621093,0.12462998578447634
2,0,1.1052493731436484,5.1025402722608115,25,MLE,0.31108838668456695,0.1635758828804605
2,0,1.1052493731436484,5.1025402722608115,25,Dirichlet(alpha=0.5),0.2692303484323365,0.11102658765264925
2,0,1.1052493731436484,5.1025402722608115,50,MLE,0.14032834199842492,0.012479413867008193
2,0,1.1052493731436484,5.1025402722608115,50,Dirichlet(alpha=0.5),0.14955911122919419,0.014113330412351018
2,0,1.1052493731436484,5.1025402722608115,100,MLE,0.07108838668456692,0.004307507195776442
2,0,1.1052493731436484,5.1025402722608115,100,Dirichlet(alpha=0.5),0.06089230825319435,0.003759563716104839
2,0,1.1052493731436484,5.1025402722608115,250,MLE,0.027658540456552402,0.0006375451156878879
2,0,1.1052493731436484,5.1025402722608115,250,Dirichlet(alpha=0.5),0.028388699186711136,0.0007012958283381509
2,0,1.1052493731436484,5.1025402722608115,500,MLE,0.028341459543447606,0.0009855020477316425
2,0,1.1052493731436484,5.1025402722608115,500,Dirichlet(alpha=0.5),0.027751818109184617,0.00101456151789695
2,0,1.1052493731436484,5.1025402722608115,1000,MLE,0.03832834199842494,0.0013272437509406244
2,0,1.1052493731436484,5.1025402722608115,1000,Dirichlet(alpha=0.5),0.039010976728963864,0.0013313763481271907
2,1,1.1052493731436484,5.1025402722608115,10,MLE,0.24892473086045572,0.0672359836234375
2,1,1.1052493731436484,5.1025402722608115,10,Dirichlet(alpha=0.5),0.1989247308604557,0.041473721663670284
2,1,1.1052493731436484,5.1025402722608115,25,MLE,0.2196716580015751,0.03978853038615102
2,1,1.1052493731436484,5.1025402722608115,25,Dirichlet(alpha=0.5),0.17522721355713067,0.02292854221425685
2,1,1.1052493731436484,5.1025402722608115,50,MLE,0.3689116133154331,0.0814702671990738
2,1,1.1052493731436484,5.1025402722608115,50,Dirichlet(alpha=0.5),0.37198853639235613,0.08395659853654763
2,1,1.1052493731436484,5.1025402722608115,100,MLE,0.2707338095960967,0.042092775166643774
2,1,1.1052493731436484,5.1025402722608115,100,Dirichlet(alpha=0.5),0.26877302528237124,0.041717594100535216
2,1,1.1052493731436484,5.1025402722608115,250,MLE,0.09507526913954432,0.006071656078780255
2,1,1.1052493731436484,5.1025402722608115,250,Dirichlet(alpha=0.5),0.0947260627903379,0.0059622924639506514
2,1,1.1052493731436484,5.1025402722608115,500,MLE,0.0827338095960967,0.004718911879817613
2,1,1.1052493731436484,5.1025402722608115,500,Dirichlet(alpha=0.5),0.08308440720565848,0.004758491188178303
2,1,1.1052493731436484,5.1025402722608115,1000,MLE,0.020733809596096733,0.0007607025266432553
2,1,1.1052493731436484,5.1025402722608115,1000,Dirichlet(alpha=0.5),0.021033210793701476,0.0007248663281994808
2,2,1.1052493731436484,5.1025402722608115,10,MLE,0.21967165800157504,2.0880788250723707
2,2,1.1052493731436484,5.1025402722608115,10,Dirichlet(alpha=0.5),0.20299187378988579,0.040143705911224986
2,2,1.1052493731436484,5.1025402722608115,25,MLE,0.059671658001575076,0.002250548987244914
